epoch,accuracy
0,0.446
1,0.5566
2,0.6326
3,0.6308
4,0.723
5,0.7554
6,0.7576
7,0.7482
8,0.7698
9,0.7792
10,0.7614
11,0.7678
12,0.7702
13,0.7974
14,0.7556
15,0.7804
16,0.779
17,0.7704
18,0.7542
19,0.7926
20,0.7818
21,0.7496
22,0.7922
23,0.813
24,0.8038
25,0.7746
26,0.8236
27,0.807
28,0.7004
29,0.7704
30,0.7654
31,0.7802
32,0.789
33,0.7996
34,0.829
35,0.8064
36,0.8142
37,0.809
38,0.7998
39,0.7964
40,0.7774
41,0.8176
42,0.8014
43,0.791
44,0.7806
45,0.7592
46,0.8304
47,0.8238
48,0.832
49,0.8042
50,0.8174
51,0.7898
52,0.7978
53,0.7802
54,0.824
55,0.8234
56,0.8042
57,0.8176
58,0.8144
59,0.823
60,0.7994
61,0.8204
62,0.7816
63,0.8054
64,0.7802
65,0.8276
66,0.8172
67,0.8108
68,0.8098
69,0.803
70,0.8148
71,0.8416
72,0.8256
73,0.7842
74,0.8256
75,0.8358
76,0.8322
77,0.7978
78,0.7966
79,0.8154
80,0.8106
81,0.8062
82,0.8104
83,0.7526
84,0.8092
85,0.8306
86,0.8084
87,0.8158
88,0.7666
89,0.8106
90,0.8194
91,0.838
92,0.8296
93,0.8194
94,0.8092
95,0.8236
96,0.8236
97,0.8176
98,0.821
99,0.8172
100,0.8776
101,0.8874
102,0.89
103,0.8914
104,0.89
105,0.891
106,0.8944
107,0.891
108,0.8894
109,0.8964
110,0.889
111,0.8934
112,0.8914
113,0.8948
114,0.8956
115,0.8928
116,0.8946
117,0.8996
118,0.8926
119,0.8962
120,0.8958
121,0.8954
122,0.8942
123,0.8954
124,0.8934
125,0.8922
126,0.8942
127,0.8904
128,0.8956
129,0.8924
130,0.8904
131,0.887
132,0.8922
133,0.89
134,0.8876
135,0.8884
136,0.8916
137,0.8878
138,0.8888
139,0.8946
140,0.8956
141,0.8908
142,0.8886
143,0.8954
144,0.8836
145,0.8872
146,0.8928
147,0.8872
148,0.8892
149,0.8878
150,0.9014
151,0.8988
152,0.9048
153,0.9012
154,0.9066
155,0.9062
156,0.9074
157,0.9064
158,0.9066
159,0.9088
160,0.9078
161,0.9034
162,0.905
163,0.9036
164,0.903
165,0.903
166,0.9032
167,0.9044
168,0.9016
169,0.9058
170,0.9042
171,0.9046
172,0.904
173,0.9074
174,0.906
175,0.905
176,0.909
177,0.904
178,0.905
179,0.906
180,0.9092
181,0.9068
182,0.902
183,0.906
184,0.9018
185,0.904
186,0.9032
187,0.9068
188,0.9068
189,0.9066
190,0.9086
191,0.905
192,0.9022
193,0.9036
194,0.9092
195,0.9048
196,0.9062
197,0.9022
198,0.9066
199,0.9042
