epoch,accuracy
0,0.4938
1,0.6286
2,0.6808
3,0.7074
4,0.7472
5,0.673
6,0.7604
7,0.7214
8,0.79
9,0.772
10,0.7958
11,0.8076
12,0.7736
13,0.7884
14,0.8106
15,0.7788
16,0.7722
17,0.7846
18,0.797
19,0.8036
20,0.779
21,0.7804
22,0.7818
23,0.8318
24,0.7838
25,0.7822
26,0.7584
27,0.8208
28,0.7726
29,0.7938
30,0.8098
31,0.8056
32,0.7908
33,0.7698
34,0.8088
35,0.789
36,0.791
37,0.7742
38,0.8248
39,0.7868
40,0.803
41,0.8194
42,0.7372
43,0.825
44,0.8248
45,0.8016
46,0.8184
47,0.7852
48,0.7998
49,0.7882
50,0.8
51,0.7708
52,0.8118
53,0.8156
54,0.8168
55,0.8164
56,0.775
57,0.8046
58,0.7938
59,0.7766
60,0.7782
61,0.8018
62,0.7774
63,0.7718
64,0.784
65,0.8046
66,0.7854
67,0.79
68,0.822
69,0.7924
70,0.8106
71,0.806
72,0.8192
73,0.7894
74,0.8008
75,0.8322
76,0.7904
77,0.8002
78,0.8134
79,0.7952
80,0.8034
81,0.8232
82,0.8202
83,0.831
84,0.828
85,0.7938
86,0.7872
87,0.8068
88,0.7776
89,0.8328
90,0.8062
91,0.785
92,0.81
93,0.8002
94,0.8194
95,0.7664
96,0.7814
97,0.8186
98,0.813
99,0.7676
100,0.88
101,0.878
102,0.8808
103,0.8838
104,0.89
105,0.8882
106,0.8884
107,0.8892
108,0.8884
109,0.8866
110,0.8924
111,0.8916
112,0.8916
113,0.897
114,0.8876
115,0.8928
116,0.8878
117,0.8892
118,0.8932
119,0.8864
120,0.8898
121,0.8864
122,0.8982
123,0.8892
124,0.8874
125,0.8876
126,0.889
127,0.8884
128,0.8938
129,0.8864
130,0.8926
131,0.8892
132,0.8906
133,0.894
134,0.8774
135,0.8888
136,0.879
137,0.8808
138,0.8878
139,0.888
140,0.8946
141,0.8904
142,0.884
143,0.8842
144,0.8872
145,0.8832
146,0.8856
147,0.8858
148,0.889
149,0.8772
150,0.9008
151,0.8968
152,0.9028
153,0.9004
154,0.9052
155,0.903
156,0.9038
157,0.9068
158,0.9008
159,0.9058
160,0.901
161,0.9036
162,0.9026
163,0.9048
164,0.8988
165,0.8978
166,0.9014
167,0.9024
168,0.906
169,0.903
170,0.902
171,0.9022
172,0.9062
173,0.9024
174,0.9012
175,0.902
176,0.8998
177,0.9018
178,0.9028
179,0.9076
180,0.9038
181,0.9016
182,0.9046
183,0.905
184,0.9042
185,0.9016
186,0.8988
187,0.9084
188,0.9004
189,0.8996
190,0.9066
191,0.9074
192,0.9044
193,0.9038
194,0.9036
195,0.9054
196,0.905
197,0.9022
198,0.906
199,0.9056
