epoch,accuracy
0,0.4266
1,0.459
2,0.5418
3,0.551
4,0.677
5,0.7276
6,0.7242
7,0.7354
8,0.7592
9,0.7568
10,0.7806
11,0.7642
12,0.7286
13,0.731
14,0.731
15,0.7008
16,0.796
17,0.7842
18,0.5834
19,0.8146
20,0.7792
21,0.8204
22,0.755
23,0.7438
24,0.8074
25,0.7436
26,0.8084
27,0.7912
28,0.7528
29,0.7942
30,0.8118
31,0.7948
32,0.7942
33,0.8126
34,0.8316
35,0.809
36,0.8314
37,0.804
38,0.8244
39,0.8208
40,0.8204
41,0.7968
42,0.8284
43,0.7908
44,0.8228
45,0.8338
46,0.7916
47,0.7942
48,0.7636
49,0.8146
50,0.8176
51,0.827
52,0.6398
53,0.779
54,0.8132
55,0.7736
56,0.764
57,0.827
58,0.8368
59,0.8364
60,0.8344
61,0.8046
62,0.7966
63,0.8422
64,0.8218
65,0.8412
66,0.7694
67,0.8608
68,0.85
69,0.8404
70,0.8356
71,0.8522
72,0.8412
73,0.8474
74,0.8414
75,0.8436
76,0.8396
77,0.835
78,0.8472
79,0.8346
80,0.821
81,0.8188
82,0.8374
83,0.8116
84,0.8094
85,0.8326
86,0.8408
87,0.8462
88,0.8288
89,0.836
90,0.8476
91,0.8442
92,0.8474
93,0.8126
94,0.7746
95,0.8058
96,0.8276
97,0.7922
98,0.785
99,0.841
100,0.8734
101,0.8778
102,0.8836
103,0.8778
104,0.8792
105,0.8826
106,0.8706
107,0.8818
108,0.8826
109,0.872
110,0.879
111,0.8828
112,0.8764
113,0.8724
114,0.8774
115,0.881
116,0.8774
117,0.8778
118,0.8758
119,0.8778
120,0.8808
121,0.8826
122,0.8762
123,0.8792
124,0.8756
125,0.8856
126,0.8692
127,0.877
128,0.8742
129,0.8754
130,0.8832
131,0.881
132,0.8818
133,0.8778
134,0.876
135,0.8796
136,0.8814
137,0.8782
138,0.8848
139,0.8768
140,0.8822
141,0.8806
142,0.8794
143,0.879
144,0.8812
145,0.8808
146,0.8758
147,0.88
148,0.876
149,0.8846
150,0.882
151,0.8856
152,0.8832
153,0.8798
154,0.8766
155,0.878
156,0.8784
157,0.8788
158,0.8738
159,0.875
160,0.882
161,0.879
162,0.8826
163,0.88
164,0.8786
165,0.879
166,0.8844
167,0.8814
168,0.8778
169,0.88
170,0.882
171,0.8822
172,0.8812
173,0.878
174,0.879
175,0.8808
176,0.8776
177,0.8784
178,0.8796
179,0.8788
180,0.8838
181,0.8814
182,0.8818
183,0.8808
184,0.8784
185,0.8822
186,0.8812
187,0.877
188,0.8814
189,0.875
190,0.8836
191,0.883
192,0.878
193,0.886
194,0.8854
195,0.8778
196,0.8794
197,0.8832
198,0.8876
199,0.8884
