epoch,accuracy
0,0.428
1,0.578
2,0.6396
3,0.6252
4,0.6754
5,0.7546
6,0.6946
7,0.7558
8,0.7384
9,0.7566
10,0.742
11,0.7496
12,0.7622
13,0.7512
14,0.7432
15,0.7646
16,0.7796
17,0.7614
18,0.7152
19,0.7878
20,0.7366
21,0.7694
22,0.7704
23,0.768
24,0.762
25,0.7676
26,0.7664
27,0.745
28,0.7662
29,0.7844
30,0.7858
31,0.749
32,0.792
33,0.7722
34,0.8
35,0.785
36,0.7462
37,0.7786
38,0.7744
39,0.792
40,0.7718
41,0.8078
42,0.8106
43,0.7992
44,0.7986
45,0.7896
46,0.822
47,0.7734
48,0.794
49,0.7662
50,0.7938
51,0.7734
52,0.799
53,0.7738
54,0.799
55,0.782
56,0.7812
57,0.7934
58,0.7838
59,0.8062
60,0.7728
61,0.7688
62,0.7522
63,0.7666
64,0.7968
65,0.7932
66,0.7968
67,0.8062
68,0.8066
69,0.814
70,0.7776
71,0.8064
72,0.8128
73,0.7712
74,0.7892
75,0.7912
76,0.7832
77,0.7998
78,0.7818
79,0.8022
80,0.756
81,0.7916
82,0.7734
83,0.78
84,0.7842
85,0.7984
86,0.7894
87,0.8082
88,0.7724
89,0.8126
90,0.8094
91,0.805
92,0.7988
93,0.783
94,0.7828
95,0.7846
96,0.7666
97,0.796
98,0.7866
99,0.7978
100,0.855
101,0.8598
102,0.8592
103,0.8658
104,0.8668
105,0.8686
106,0.8688
107,0.8656
108,0.8686
109,0.8666
110,0.8684
111,0.867
112,0.8694
113,0.8746
114,0.8698
115,0.8752
116,0.868
117,0.8806
118,0.8796
119,0.864
120,0.8748
121,0.8708
122,0.8726
123,0.8772
124,0.867
125,0.869
126,0.873
127,0.8708
128,0.8706
129,0.8712
130,0.8804
131,0.8736
132,0.8738
133,0.8752
134,0.8678
135,0.8728
136,0.8682
137,0.8678
138,0.8624
139,0.8752
140,0.873
141,0.8672
142,0.8718
143,0.865
144,0.8626
145,0.8734
146,0.8692
147,0.8726
148,0.8654
149,0.8708
150,0.876
151,0.8756
152,0.8826
153,0.8822
154,0.8808
155,0.8804
156,0.878
157,0.8842
158,0.883
159,0.886
160,0.8838
161,0.8808
162,0.885
163,0.886
164,0.8916
165,0.8868
166,0.8858
167,0.8858
168,0.8892
169,0.8816
170,0.8832
171,0.8888
172,0.883
173,0.8916
174,0.8832
175,0.8814
176,0.8874
177,0.8902
178,0.882
179,0.8774
180,0.8876
181,0.8852
182,0.881
183,0.8832
184,0.8928
185,0.8872
186,0.8808
187,0.8844
188,0.8892
189,0.8852
190,0.8924
191,0.8888
192,0.8872
193,0.8824
194,0.8922
195,0.8842
196,0.8894
197,0.8858
198,0.889
199,0.8862
