epoch,accuracy
0,0.4912
1,0.5874
2,0.6404
3,0.591
4,0.7102
5,0.7454
6,0.7018
7,0.7604
8,0.7308
9,0.7694
10,0.7228
11,0.7094
12,0.7638
13,0.7772
14,0.7678
15,0.7406
16,0.7618
17,0.7804
18,0.7566
19,0.7656
20,0.7392
21,0.7394
22,0.7386
23,0.7856
24,0.7822
25,0.763
26,0.7912
27,0.7688
28,0.7722
29,0.7784
30,0.7764
31,0.7508
32,0.7856
33,0.771
34,0.7964
35,0.7804
36,0.7942
37,0.7866
38,0.7854
39,0.781
40,0.795
41,0.7854
42,0.7864
43,0.806
44,0.7944
45,0.7472
46,0.7956
47,0.8062
48,0.7968
49,0.7748
50,0.7984
51,0.7978
52,0.787
53,0.7754
54,0.8056
55,0.8012
56,0.7982
57,0.7888
58,0.7654
59,0.7968
60,0.775
61,0.7854
62,0.8024
63,0.7986
64,0.737
65,0.7984
66,0.8078
67,0.7778
68,0.8
69,0.8036
70,0.794
71,0.788
72,0.8
73,0.763
74,0.8126
75,0.7838
76,0.776
77,0.7658
78,0.801
79,0.79
80,0.7442
81,0.7922
82,0.7836
83,0.7668
84,0.8052
85,0.8066
86,0.7898
87,0.7786
88,0.7728
89,0.8048
90,0.7982
91,0.8068
92,0.812
93,0.7938
94,0.8286
95,0.7886
96,0.7664
97,0.8046
98,0.7952
99,0.8316
100,0.8612
101,0.8646
102,0.8762
103,0.8706
104,0.8692
105,0.8722
106,0.8728
107,0.8718
108,0.8792
109,0.8746
110,0.8742
111,0.8752
112,0.8808
113,0.8786
114,0.8748
115,0.8766
116,0.8874
117,0.8754
118,0.8754
119,0.8796
120,0.8826
121,0.8856
122,0.8788
123,0.8776
124,0.8742
125,0.8878
126,0.8812
127,0.8756
128,0.8712
129,0.877
130,0.8732
131,0.8768
132,0.8752
133,0.8724
134,0.8828
135,0.872
136,0.8762
137,0.8774
138,0.8798
139,0.8752
140,0.8824
141,0.8742
142,0.8714
143,0.872
144,0.8638
145,0.8746
146,0.8678
147,0.882
148,0.8782
149,0.8776
150,0.8864
151,0.8892
152,0.893
153,0.8884
154,0.8886
155,0.8908
156,0.8876
157,0.8936
158,0.896
159,0.8888
160,0.8954
161,0.8876
162,0.8922
163,0.8894
164,0.8946
165,0.8942
166,0.8926
167,0.8932
168,0.891
169,0.894
170,0.8964
171,0.8926
172,0.8982
173,0.8908
174,0.894
175,0.8916
176,0.8974
177,0.8898
178,0.893
179,0.8902
180,0.8956
181,0.8952
182,0.8828
183,0.8888
184,0.8914
185,0.8896
186,0.8952
187,0.892
188,0.8868
189,0.8918
190,0.8984
191,0.8944
192,0.8926
193,0.8872
194,0.893
195,0.893
196,0.8946
197,0.8938
198,0.8948
199,0.8906
