epoch,accuracy
0,0.4896
1,0.5908
2,0.7036
3,0.705
4,0.7038
5,0.7514
6,0.7744
7,0.7662
8,0.7344
9,0.7756
10,0.7942
11,0.7706
12,0.7962
13,0.7694
14,0.8036
15,0.784
16,0.8132
17,0.7806
18,0.8026
19,0.8112
20,0.7342
21,0.7818
22,0.7992
23,0.8194
24,0.8172
25,0.8258
26,0.8206
27,0.8054
28,0.8248
29,0.8178
30,0.825
31,0.8198
32,0.7676
33,0.8114
34,0.8032
35,0.8006
36,0.7956
37,0.796
38,0.8092
39,0.8204
40,0.792
41,0.8238
42,0.8244
43,0.8252
44,0.8102
45,0.8182
46,0.8328
47,0.8174
48,0.82
49,0.8052
50,0.8194
51,0.8248
52,0.8224
53,0.8002
54,0.8112
55,0.7844
56,0.8266
57,0.8224
58,0.834
59,0.8266
60,0.7956
61,0.7962
62,0.8378
63,0.8408
64,0.836
65,0.8074
66,0.833
67,0.8378
68,0.8158
69,0.8398
70,0.8346
71,0.8074
72,0.8122
73,0.823
74,0.7966
75,0.8338
76,0.8266
77,0.8004
78,0.8324
79,0.7814
80,0.8224
81,0.8238
82,0.819
83,0.8392
84,0.8032
85,0.7848
86,0.821
87,0.838
88,0.7772
89,0.844
90,0.8018
91,0.8162
92,0.8254
93,0.7912
94,0.7962
95,0.828
96,0.8082
97,0.8184
98,0.7714
99,0.7994
100,0.9012
101,0.8964
102,0.9
103,0.901
104,0.9044
105,0.9018
106,0.9036
107,0.903
108,0.8994
109,0.9036
110,0.906
111,0.9024
112,0.905
113,0.9044
114,0.9074
115,0.9038
116,0.9036
117,0.9042
118,0.9028
119,0.8984
120,0.9032
121,0.8992
122,0.9006
123,0.9016
124,0.8986
125,0.8986
126,0.9012
127,0.8982
128,0.8934
129,0.8988
130,0.8936
131,0.9004
132,0.9012
133,0.8988
134,0.8982
135,0.897
136,0.8938
137,0.9012
138,0.9034
139,0.8924
140,0.895
141,0.8916
142,0.893
143,0.8992
144,0.8962
145,0.8916
146,0.8892
147,0.8964
148,0.8952
149,0.8974
150,0.9136
151,0.917
152,0.9138
153,0.9174
154,0.917
155,0.9128
156,0.9126
157,0.9138
158,0.9118
159,0.9126
160,0.9124
161,0.9158
162,0.9112
163,0.908
164,0.9136
165,0.9144
166,0.9172
167,0.9148
168,0.9152
169,0.9132
170,0.9126
171,0.9108
172,0.9156
173,0.9062
174,0.9092
175,0.9114
176,0.9144
177,0.9168
178,0.9092
179,0.9146
180,0.9138
181,0.9132
182,0.9126
183,0.9124
184,0.9124
185,0.9114
186,0.9122
187,0.9098
188,0.914
189,0.9146
190,0.9138
191,0.91
192,0.9092
193,0.91
194,0.9158
195,0.9104
196,0.9116
197,0.9142
198,0.913
199,0.9122
