epoch,accuracy
0,0.5136
1,0.598
2,0.6812
3,0.7036
4,0.7112
5,0.6996
6,0.7562
7,0.7304
8,0.7898
9,0.7414
10,0.773
11,0.7784
12,0.7954
13,0.7956
14,0.7616
15,0.7908
16,0.7938
17,0.8118
18,0.8296
19,0.8124
20,0.8
21,0.8022
22,0.805
23,0.8082
24,0.8056
25,0.7776
26,0.8052
27,0.7712
28,0.8218
29,0.8178
30,0.783
31,0.8198
32,0.782
33,0.8338
34,0.786
35,0.8066
36,0.8256
37,0.7984
38,0.8182
39,0.8084
40,0.8368
41,0.8178
42,0.8096
43,0.827
44,0.7746
45,0.8268
46,0.8
47,0.7934
48,0.8384
49,0.8128
50,0.8256
51,0.8246
52,0.8162
53,0.8386
54,0.8014
55,0.8136
56,0.8334
57,0.8234
58,0.834
59,0.8452
60,0.8398
61,0.8218
62,0.7992
63,0.8574
64,0.821
65,0.8302
66,0.8422
67,0.808
68,0.8254
69,0.8196
70,0.828
71,0.8328
72,0.8378
73,0.811
74,0.8194
75,0.8158
76,0.8252
77,0.7896
78,0.8348
79,0.8342
80,0.8162
81,0.7924
82,0.7946
83,0.8432
84,0.8134
85,0.8172
86,0.8098
87,0.811
88,0.83
89,0.8076
90,0.8168
91,0.8262
92,0.8416
93,0.8116
94,0.8514
95,0.8404
96,0.82
97,0.8114
98,0.8366
99,0.816
100,0.892
101,0.8956
102,0.8982
103,0.8984
104,0.9006
105,0.899
106,0.8994
107,0.9018
108,0.9016
109,0.9038
110,0.9012
111,0.9006
112,0.9036
113,0.902
114,0.9016
115,0.9012
116,0.8988
117,0.8998
118,0.8988
119,0.8962
120,0.901
121,0.8996
122,0.886
123,0.897
124,0.8968
125,0.9006
126,0.9034
127,0.9028
128,0.9002
129,0.9
130,0.8926
131,0.898
132,0.8994
133,0.8916
134,0.9004
135,0.8966
136,0.9
137,0.8914
138,0.8976
139,0.8984
140,0.8898
141,0.8986
142,0.8994
143,0.8958
144,0.8958
145,0.891
146,0.8946
147,0.8952
148,0.903
149,0.883
150,0.9086
151,0.9108
152,0.9092
153,0.9116
154,0.9134
155,0.9124
156,0.9136
157,0.9118
158,0.91
159,0.9106
160,0.9148
161,0.9136
162,0.9116
163,0.9124
164,0.9112
165,0.9128
166,0.91
167,0.908
168,0.9112
169,0.9142
170,0.9186
171,0.912
172,0.9096
173,0.9154
174,0.9098
175,0.9096
176,0.9138
177,0.9104
178,0.9068
179,0.916
180,0.9172
181,0.9158
182,0.909
183,0.9096
184,0.9086
185,0.9094
186,0.9084
187,0.9126
188,0.9138
189,0.9086
190,0.912
191,0.9104
192,0.9106
193,0.9142
194,0.9132
195,0.9104
196,0.9162
197,0.9096
198,0.9098
199,0.911
