epoch,accuracy
0,0.368
1,0.6278
2,0.671
3,0.7076
4,0.74
5,0.7572
6,0.7872
7,0.7588
8,0.714
9,0.7546
10,0.7982
11,0.7654
12,0.7906
13,0.8072
14,0.7982
15,0.7952
16,0.7946
17,0.7976
18,0.777
19,0.7124
20,0.8082
21,0.7766
22,0.7958
23,0.7798
24,0.7908
25,0.7992
26,0.7994
27,0.7754
28,0.8252
29,0.7992
30,0.7786
31,0.7972
32,0.8136
33,0.812
34,0.8284
35,0.7996
36,0.8072
37,0.8238
38,0.798
39,0.812
40,0.8044
41,0.8124
42,0.8082
43,0.7994
44,0.7926
45,0.8336
46,0.834
47,0.8034
48,0.774
49,0.8174
50,0.8356
51,0.8412
52,0.8414
53,0.8256
54,0.7818
55,0.8112
56,0.8156
57,0.8324
58,0.8154
59,0.791
60,0.8194
61,0.8062
62,0.8066
63,0.7942
64,0.8254
65,0.816
66,0.8306
67,0.8398
68,0.832
69,0.827
70,0.8116
71,0.8242
72,0.8162
73,0.829
74,0.8376
75,0.832
76,0.8318
77,0.8416
78,0.821
79,0.8366
80,0.8382
81,0.8298
82,0.7844
83,0.8192
84,0.8456
85,0.8374
86,0.8144
87,0.809
88,0.8312
89,0.8368
90,0.833
91,0.8084
92,0.7852
93,0.7966
94,0.8234
95,0.8232
96,0.8368
97,0.8404
98,0.8056
99,0.8268
100,0.8924
101,0.8956
102,0.9008
103,0.8974
104,0.9066
105,0.9008
106,0.9022
107,0.9038
108,0.9006
109,0.9048
110,0.9038
111,0.9026
112,0.9034
113,0.9028
114,0.9056
115,0.9016
116,0.9054
117,0.8996
118,0.8988
119,0.9016
120,0.905
121,0.8972
122,0.901
123,0.8996
124,0.898
125,0.8986
126,0.9024
127,0.9026
128,0.8996
129,0.8984
130,0.9032
131,0.8998
132,0.902
133,0.9012
134,0.8938
135,0.9012
136,0.9
137,0.8932
138,0.8918
139,0.894
140,0.888
141,0.8924
142,0.8938
143,0.892
144,0.8964
145,0.8986
146,0.898
147,0.896
148,0.8902
149,0.8934
150,0.9082
151,0.914
152,0.9144
153,0.9112
154,0.9124
155,0.9106
156,0.9102
157,0.9144
158,0.914
159,0.9142
160,0.9166
161,0.915
162,0.9152
163,0.9124
164,0.9146
165,0.9174
166,0.9092
167,0.9144
168,0.9138
169,0.916
170,0.9118
171,0.9134
172,0.9138
173,0.9188
174,0.914
175,0.9144
176,0.9118
177,0.9128
178,0.9106
179,0.9128
180,0.9132
181,0.9134
182,0.9166
183,0.9122
184,0.9144
185,0.9126
186,0.9164
187,0.9148
188,0.9142
189,0.9204
190,0.9124
191,0.9124
192,0.9128
193,0.9158
194,0.9118
195,0.9132
196,0.918
197,0.9128
198,0.9146
199,0.9116
