epoch,accuracy
0,0.5184
1,0.6434
2,0.6902
3,0.7312
4,0.6896
5,0.7374
6,0.7702
7,0.7518
8,0.77
9,0.7078
10,0.8126
11,0.796
12,0.8054
13,0.7994
14,0.792
15,0.817
16,0.786
17,0.794
18,0.7806
19,0.8044
20,0.7988
21,0.7962
22,0.7898
23,0.7698
24,0.8096
25,0.8262
26,0.8086
27,0.82
28,0.7912
29,0.8084
30,0.7852
31,0.7674
32,0.818
33,0.7704
34,0.8224
35,0.8344
36,0.818
37,0.8238
38,0.815
39,0.8194
40,0.815
41,0.7988
42,0.8274
43,0.8206
44,0.7992
45,0.7924
46,0.8042
47,0.835
48,0.8382
49,0.7988
50,0.8138
51,0.7848
52,0.7816
53,0.8116
54,0.8346
55,0.8264
56,0.7536
57,0.8246
58,0.8326
59,0.8266
60,0.8004
61,0.8276
62,0.8274
63,0.8386
64,0.8124
65,0.8274
66,0.8378
67,0.8414
68,0.8218
69,0.7978
70,0.833
71,0.8018
72,0.8242
73,0.8304
74,0.7842
75,0.7998
76,0.8104
77,0.79
78,0.8214
79,0.8114
80,0.8352
81,0.8132
82,0.8298
83,0.834
84,0.843
85,0.8286
86,0.7848
87,0.815
88,0.8362
89,0.8332
90,0.8166
91,0.8392
92,0.8016
93,0.8422
94,0.8126
95,0.8118
96,0.83
97,0.843
98,0.8186
99,0.8244
100,0.896
101,0.8992
102,0.8984
103,0.9006
104,0.9008
105,0.9026
106,0.9028
107,0.8986
108,0.902
109,0.9026
110,0.9056
111,0.9056
112,0.9046
113,0.9038
114,0.9018
115,0.902
116,0.9032
117,0.8976
118,0.9012
119,0.8996
120,0.9044
121,0.8982
122,0.904
123,0.904
124,0.9004
125,0.894
126,0.8996
127,0.8946
128,0.8996
129,0.8962
130,0.896
131,0.9012
132,0.8994
133,0.9062
134,0.8998
135,0.8898
136,0.8942
137,0.8998
138,0.8928
139,0.8958
140,0.8934
141,0.8928
142,0.8956
143,0.8982
144,0.8942
145,0.8966
146,0.8976
147,0.8892
148,0.8926
149,0.8952
150,0.9104
151,0.9134
152,0.9124
153,0.9138
154,0.9144
155,0.91
156,0.9128
157,0.9084
158,0.9176
159,0.907
160,0.9098
161,0.911
162,0.9112
163,0.9138
164,0.9168
165,0.9122
166,0.913
167,0.9148
168,0.9122
169,0.9132
170,0.9168
171,0.911
172,0.9164
173,0.913
174,0.914
175,0.9106
176,0.915
177,0.9134
178,0.915
179,0.9114
180,0.9136
181,0.9152
182,0.9134
183,0.9112
184,0.9158
185,0.9186
186,0.9134
187,0.9118
188,0.9106
189,0.9134
190,0.9134
191,0.9142
192,0.917
193,0.9122
194,0.914
195,0.9122
196,0.9144
197,0.9146
198,0.9164
199,0.914
